Region,Sub-Region,Transmission Station,Sub-Station
Abuja,Abuja Sub-region,Katampe 330/132kV T/S,katampe-1 132/33kV S/S
Abuja,Abuja Sub-region,Katampe 330/132kV T/S,katampe-2 132/33kV S/S
Abuja,Abuja Sub-region,Katampe 330/132kV T/S,Central Area 132/33kV S/S
Abuja,Abuja Sub-region,Katampe 330/132kV T/S,Kubwa 132/33kV S/S
Abuja,Abuja Sub-region,Katampe 330/132kV T/S,Gwarimpa GIS 132/33kV SS
Abuja,Abuja Sub-region,Apo 132/33kV T/S,Keffi 132/33kV S/S
Abuja,Abuja Sub-region,Apo 132/33kV T/S,Apo 132/33kV S/S
Abuja,Abuja Sub-region,Apo 132/33kV T/S,Wumba 132/33kV S/S
Abuja,Abuja Sub-region,Apo 132/33kV T/S,Karu 132/33kV S/S
Abuja,Abuja Sub-region,Apo 132/33kV T/S,Akwanga 132/33kV S/S
Abuja,Abuja Sub-region,Waru 330/132kV T/S,Waru 132/33kV S/S
Abuja,Abuja Sub-region,Lafia 330/132kV T/S,Lafia 132/33kV S/S
Abuja,Gwagwalada Sub-region,Gwagwalada 330/132kV T/S,Gwagwalada 132/33kV S/S
Abuja,Gwagwalada Sub-region,Gwagwalada 330/132kV T/S,Kukwaba 132/33kV S/S
Abuja,Gwagwalada Sub-region,Gwagwalada 330/132kV T/S,Suleja  132/33kV S/S
Abuja,Gwagwalada Sub-region,Lugbe 330/132kV T/S,Lugbe 132/33kV S/S
Abuja,Gwagwalada Sub-region,Lugbe 330/132kV T/S,Kuje 132/33kV S/S
Abuja,Ajaokuta Sub-region,Ajaokuta 330kV T/S,Ajaokuta 132/33kV S/S
Abuja,Ajaokuta Sub-region,Ajaokuta 330kV T/S,Okpella 132/33kV S/S
Abuja,Ajaokuta Sub-region,Geregu 11 330kV T/S,Ayingba 132/33kV S/S
Abuja,Ajaokuta Sub-region,Obajana 330/132kV T/S,Obajana 132/33kV S/S
Abuja,Ajaokuta Sub-region,Lokoja 330kV T/S,Lokoja 132/33kV S/S
Abuja,Ajaokuta Sub-region,Lokoja 330kV T/S,Okene 132/33kV S/S
,,,
Bauchi,Gombe Sub-Region,Gombe 330/132kV substation,Gombe 132/33kV substation
Bauchi,Gombe Sub-Region,Gombe 330/132kV substation,Ashaka 132/33kV substation
Bauchi,Gombe Sub-Region,Gombe 330/132kV substation,Potiskum 132/33kV substation
Bauchi,Gombe Sub-Region,Gombe 330/132kV substation,Biu 132/33kV substation
Bauchi,Jos Sub-Region,Jos 330/132kV substation,Jos 132/33kV substation
Bauchi,Jos Sub-Region,Jos 330/132kV substation,Makeri 132/33kV substation
Bauchi,Jos Sub-Region,Jos 330/132kV substation,Pankshin 132/33kV substation
Bauchi,Jos Sub-Region,Jos 330/132kV substation,Kafanchan 132/33kV substation
Bauchi,Jos Sub-Region,Jos 330/132kV substation,Bauchi 132/33kV substation
Bauchi,Yola Works Centre,Yola 330/132kV substation,Yola 132/33kV substation
